subscription_id,customer_id,plan,region,monthly_revenue,status,start_date,cancellation_date,seats
S001,C001,Starter,South,49,Active,2025-11-10,,3
S002,C002,Growth,West,129,Active,2025-12-01,,12
S003,C003,Growth,Northeast,129,Canceled,2025-10-15,2026-06-05,10
S004,C004,Enterprise,Midwest,499,Active,2025-08-20,,45
S005,C005,Starter,South,49,Canceled,2026-01-08,2026-06-18,4
S006,C006,Growth,West,159,Active,2026-02-14,,16
S007,C007,Enterprise,Northeast,599,Active,2025-09-01,,70
S008,C008,Starter,Midwest,59,Active,2026-03-03,,5
S009,C009,Growth,South,129,Canceled,2025-07-22,2026-05-20,9
S010,C010,Starter,West,49,Active,2026-06-12,,2
S011,C011,Enterprise,Northeast,449,Active,2026-01-18,,38
S012,C012,Growth,Midwest,139,Active,2026-04-06,,14
S013,C013,Starter,South,49,Canceled,2025-12-28,2026-06-29,3
S014,C014,Growth,West,149,Active,2026-05-04,,11
S015,C015,Enterprise,South,549,Active,2025-06-30,,55
S016,C016,Starter,Northeast,59,Trial,2026-06-25,,2
S017,C017,Growth,Midwest,129,Canceled,2025-11-11,2026-06-10,8
S018,C018,Starter,West,49,Active,2026-02-02,,4
