shot_id,project_id,sequence_code,shot_name,department,assigned_artist_id,assigned_date,start_date,deadline,delivery_date,first_pass_date,final_approval_date,status,priority,complexity,estimated_hours,actual_hours,internal_revision_count,client_revision_count,revision_count_reported,hold_days,vendor_dependencies,notes
PRJ-1012_SQ080_SH0010,PRJ-1012,SQ080,SQ080_SH0010,Matte Painting,ART-051,2025-10-27,28-Oct-2025,2025-11-12,,2025-11-02,,On Hold,High,Medium,59.1,27.1,1,2,3,1,None,Editorial turnover changed after first pass
PRJ-1009_SQ050_SH0030,PRJ-1009,SQ050,SQ050_SH0030,Matte Painting,ART-051,2025-05-19,2025-05-20,2025-06-02,2025-06-01,2025-05-23,2025-06-04,Approved,Critical,Medium,43.8,51.7,3,1,4,0,None,Heavy grain matching required
PRJ-1004_SQ060_SH0060,PRJ-1004,SQ060,SQ060_SH0060,Animation,ART-041,2024-10-17,2024-10-19,2024-10-29,2024-11-02,2024-10-23,2024-11-05,Approved,Critical,Low-Medium,47.3,52.8,2,1,3,0,None,
PRJ-1010_SQ090_SH0030,PRJ-1010,SQ090,SQ090_SH0030,Matte Painting,ART-055,2025-07-24,2025-07-27,2025-08-09,2025-08-13,2025-13-05,2025-08-14,W.I.P.,Medium,Low-Medium,40.9,53.8,2,1,3,0,None,
PRJ-1013_SQ030_SH0020,PRJ-1013,SQ030,SQ030_SH0020,FX,ART-058,2026-01-25,2026-01-28,2026-02-10,2026-02-11,2026-01-31,2026-02-11,Delivered,High,Low-Medium,44.1,40.3,0,0,0,0,Plate Prep,Additional cleanup discovered during review
PRJ-1011_SQ040_SH0090,PRJ-1011,SQ040,SQ040_SH0090,Matte Painting,ART-055,2026-01-06,2026-01-06,2026-01-15,2026-01-17,2026-01-10,2026-01-19,Delivered,Medium,Low-Medium,45.2,58.0,2,1,3,0,3D Asset,Client requested alternate color treatment
PRJ-1015_SQ070_SH0110,PRJ-1015,SQ070,SQ070_SH0110,Lighting,ART-002,2026-10-03,2026-10-08,2026-10-19,,,,WIP,Low,Medium,44.2,30.0,2,1,3,0,Client Plate,Client requested alternate color treatment
PRJ-1009_SQ080_SH0040,PRJ-1009,SQ080,SQ080_SH0040,Compositing,ART-060,2025-06-15,2025-06-16,2025-06-25,2025-06-28,2025-06-19,2025-06-28,Delivered,Medium,Medium,44.2,47.9,1,1,2,1,Client Plate,Dependent on upstream FX delivery
PRJ-1006_SQ100_SH0010,PRJ-1006,SQ100,SQ100_SH0010,Matte Painting,ART-029,2024-10-28,2024-11-01,2024-11-26,2024-12-01,2024-11-11,2024-12-01,Delivered,Medium,Very High,112.7,166.6,3,3,6,3,External Simulation,Client requested alternate color treatment
PRJ-1002_SQ090_SH0010,PRJ-1002,SQ090,SQ090_SH0010,Lighting,ART-043,2024-02-23,2024-02-27,2024-03-09,2024-03-04,2024-03-01,2024-03-04,Approved,High,Low-Medium,32.7,31.1,1,0,1,0,3D Asset,
