client_id,client_name,client_type,region,contract_tier,revision_tendency_index,default_review_sla_hours,active_flag,account_manager,notes
CL-012, COPPERFIELD CREATIVE ,Agency,Europe,C,0.85,12,Active,Mateo Davis,
CL-007,Northstar Episodic,Television Studio,North America,B,1.2,20,Y,Nico Martinez,
CL-008,Monument Trailer House,Marketing Vendor,North America,C,0.8,8,Yes,Parker Walker,
CL-005,Orchid Gate Media,Feature Studio,Asia-Pacific,A,1.25,24,TRUE,Aisha King,
CL-002,Signal Peak Streaming,Streaming Platform,North America,A,1.35,18,Y,Blake King,
CL-006,Cinderline Entertainment,Independent Studio,Europe,C,1.1,36,Y,Rowan Davis,
CL-010,Marble Harbor Films,Feature Studio,Europe,A,1.3,24,Y,Casey King,
CL-003, SILVER ARC TELEVISION ,Television Studio,Europe,B,1.05,24,Y,Avery Davis,
CL-009,Sunbird Interactive,Game Cinematics,Asia-Pacific,B,1.05,24,Y,Sofia Nguyen,
CL-011,Brightline Originals,Streaming Platform,North America,A,1.4,16,Y,Blake White,
CL-012, COPPERFIELD CREATIVE ,Agency,Europe,C,0.85,12,Active,Mateo Davis,
CL-007,Northstar Episodic,Television Studio,North America,B,1.2,20,Y,Nico Martinez,
CL-004,Kiteframe Advertising,Agency,N. America,B,0.9,12,Y,Skyler Davis,
CL-001,Blue Lantern Pictures,Feature Studio,North America,A,1.15,24,Y,Cameron Lee,
