Table,Column,Expected type,Key role,Description,Seeded quality notes
Raw_Clients,client_id,Text,Primary key,Synthetic client identifier.,"Duplicates, whitespace, and invalid references exist."
Raw_Clients,client_name,Text,,Client or studio name.,
Raw_Clients,client_type,Text,,Business category such as feature studio or agency.,
Raw_Clients,region,Text,,Primary client region.,
Raw_Clients,contract_tier,Text,,Commercial service tier.,
Raw_Clients,revision_tendency_index,Decimal,,Synthetic multiplier influencing client revision behavior.,
Raw_Clients,default_review_sla_hours,Integer,,Expected client review turnaround in hours.,
Raw_Clients,active_flag,Boolean-like text,,Whether the client relationship is active.,Multiple boolean encodings are intentionally present.
Raw_Clients,account_manager,Text,,Internal account owner.,
Raw_Clients,notes,Text,,Free-form account notes.,
Raw_Projects,project_id,Text,Primary key,Synthetic production/project identifier.,"Duplicates, casing/whitespace, and invalid references exist."
Raw_Projects,client_id,Text,Foreign key → Raw_Clients.client_id,Client commissioning the work.,"Duplicates, whitespace, and invalid references exist."
Raw_Projects,project_name,Text,,Internal project title.,
Raw_Projects,project_type,Text,,"Feature, episodic, commercial, trailer, or game cinematic.",
Raw_Projects,start_date,Date text,,Production start date from the raw export.,"Mixed formats, blanks, and invalid dates exist."
Raw_Projects,target_delivery_date,Date text,,Contractual or internal target delivery date.,Mixed formats and date-order problems exist.
Raw_Projects,actual_delivery_date,Date text,,Actual project delivery date when completed.,Mixed formats and blanks exist.
Raw_Projects,status,Text,,Current project state.,"Casing, spelling, and workflow-label inconsistencies exist."
Raw_Projects,priority,Text,,Operational priority.,
Raw_Projects,planned_shot_count,Integer,,Planned number of shots.,
Raw_Projects,budget_hours,Decimal,,Approved labor-hour budget.,"Text, blanks, and negative values exist."
Raw_Projects,producer,Text,,Production owner.,
Raw_Projects,vfx_supervisor,Text,,Creative/technical supervisor.,
Raw_Projects,fps,Decimal,,Project frame rate.,
Raw_Projects,resolution,Text,,Delivery resolution.,
Raw_Projects,delivery_format,Text,,Primary delivery media format.,
Raw_Artists,artist_id,Text,Primary key,Synthetic employee identifier.,"Duplicates, casing, blanks, and invalid references exist."
Raw_Artists,artist_name,Text,,Artist display name.,
Raw_Artists,department,Text,,Primary VFX department.,"Abbreviations, casing, whitespace, and alternate names exist."
Raw_Artists,role,Text,,Production role.,
Raw_Artists,seniority,Text,,"Junior, mid, senior, or lead.",
Raw_Artists,location,Text,,Office or remote location.,
Raw_Artists,weekly_capacity_hours,Decimal,,Expected weekly available production hours.,"Text, zero, negative, and extreme values exist."
