table,column,observed_type,expected_type,definition,nullable,key,expected_unique,valid_values,relationship,unit,notes,cleaning_expectation,warning_resolution,reviewed
artists,artist_id,VARCHAR,Identifier text,Unique identifier assigned to each artist record in the production workforce.,No nulls allowed,Primary key,Required,"ART-###: uppercase ART, a hyphen, and three digits.",,,The raw table contains 62 rows and 60 distinct artist IDs; ART-044 and ART-053 each appear twice as exact duplicate records.,"Remove exact duplicate artist rows, retain one canonical record per ID, trim whitespace, standardize casing, and verify that the cleaned key is unique and non-null.",artist_id remains the intended primary key. The repeated IDs are raw-data defects that will be removed during cleaning.,Yes
artists,artist_name,VARCHAR,Text,Full name used to identify the fictional artist in staffing and reporting views.,No nulls allowed,Not a key,Not required,First and last name in consistent display casing.,,,Names are descriptive and may legitimately repeat; artist_id is the authoritative identifier.,Trim surrounding whitespace and standardize display casing without treating repeated names as duplicate artists.,,Yes
artists,department,VARCHAR,Category text,Primary VFX production department to which the artist is assigned.,No nulls allowed,Not a key,Not required,Animation; Assets; Compositing; FX; Lighting; Matchmove; Matte Painting; Roto/Paint.,,,"Raw values contain capitalization, abbreviation, and whitespace variants such as compositing, MATCHMOVE, matte painting, and Roto/Paint with trailing spaces.",Trim whitespace and map all variants to the approved department labels.,The raw text variants represent the same controlled department categories and will be standardized in the cleaned table.,Yes
artists,role,VARCHAR,Category text,Artist’s primary production role or discipline within the assigned department.,No nulls allowed,Not a key,Not required,Animator; Senior Animator; Compositor; Senior Compositor; FX Artist; Senior FX Artist; FX Lead; Lighting Artist; Senior Lighting Artist; Matchmove Artist; Matchmove Lead; Tracking Artist; Matte Painter; Modeler; Texture Artist; Paint Artist; Roto Artist.,,,,Trim whitespace and preserve the approved production-role labels.,,Yes
artists,seniority,VARCHAR,Category text,"Artist experience level used for staffing, capacity, and labor-cost analysis.",No nulls allowed,Not a key,Not required,Junior; Mid; Senior; Lead.,,,,Standardize capitalization to the approved seniority labels.,,Yes
artists,location,VARCHAR,Category text,Artist’s assigned office location or remote-work region.,No nulls allowed,Not a key,Not required,Atlanta; London; Los Angeles; Montreal; Vancouver; Remote-US; Remote-EU.,,,,Trim whitespace and standardize values to the approved location labels.,,Yes
artists,weekly_capacity_hours,VARCHAR,Decimal,Number of hours the artist is normally available for schedulable production work each week.,No nulls allowed,Not a key,Not required,Non-negative numeric hours; zero is allowed only when the artist has no schedulable production capacity.,,Hours per week,"The raw text field includes 40 hrs, one negative value (-8), one zero value, and one unusually high value (80).","Remove text suffixes, convert to decimal, investigate negative and extreme values, and preserve zero only when supported by the artist’s current work status.",The field is logically numeric even though dirty source values caused it to load as text. Invalid or unusual capacities will be corrected or documented before utilization analysis.,Yes
artists,hourly_cost_usd,VARCHAR,Currency / decimal,Fictional internal hourly labor-cost rate used to estimate artist and project labor cost.,No nulls allowed,Not a key,Not required,Positive numeric amount without currency symbols or text suffixes.,,USD per hour,"The raw text field contains one blank, one negative value, a dollar-formatted value, and a value with /hr appended.","Remove formatting characters, convert to decimal, fill only business-confirmed missing values, and investigate or correct non-positive rates before cost analysis.","The field is expected to be numeric currency; raw formatting, a blank, and a negative value explain the observed text type and require cleaning.",Yes
artists,hire_date,DATE,Date,Date the artist began employment with the fictional VFX studio.,No nulls allowed,Not a key,Not required,YYYY-MM-DD.,,,,Preserve as a date and validate that hire dates precede related production activity.,,Yes
artists,active_flag,VARCHAR,Boolean,Indicates whether the artist is currently active in the studio workforce.,No nulls allowed,Not a key,Not required,Y = active; N = inactive.,,,"The raw field also contains Yes, Active, and FALSE.",Standardize affirmative values to Y and negative values to N; send unrecognized values for review.,The source stores one boolean concept with several text encodings. The cleaned field will use only Y and N.,Yes
artists,manager_id,VARCHAR,Identifier text,"Identifier of the artist’s direct manager, department lead, or other reporting supervisor.",Conditionally nullable,Self-referencing foreign key,Not required,"ART-###, or null when no manager is represented in the dataset.",artists.artist_id,,Five raw records have null manager IDs; populated values must resolve to another artist record.,"Preserve legitimate top-level nulls, trim and standardize populated IDs, and validate every non-null value against artists.artist_id.",Nulls are valid only for artists with no manager represented in the dataset; populated values remain required to match an artist record.,Yes
artists,email,VARCHAR,Text,"Synthetic, non-routable company email address assigned to the artist.",No nulls allowed,Not a key,Required,first_name.last_name@spectraforgevfx.example.,,,"The raw field contains one missing address and duplicate or misassigned addresses, including duplicates caused by exact duplicate artist rows and same-name artists.","Fill business-confirmed missing addresses, correct misassigned addresses, remove exact duplicate rows, and apply an approved unique-alias rule to unresolved same-name collisions.","Email is expected to be required and unique, but the raw export contains missing and repeated values that must be resolved during cleaning.",Yes
clients,client_id,VARCHAR,Identifier text,Unique identifier assigned to each client account.,No nulls allowed,Primary key,Required,"CL-###: uppercase CL, a hyphen, and three digits.",,,The raw table contains 14 rows and 12 distinct client IDs; CL-007 and CL-012 each appear twice as exact duplicate records.,"Remove exact duplicate rows, retain one canonical record per ID, trim whitespace, standardize casing, and verify uniqueness and completeness.",client_id remains the intended primary key. Repeated IDs are duplicate raw records rather than a data-model decision.,Yes
clients,client_name,VARCHAR,Text,"Official display name of the fictional client, studio, agency, platform, or vendor commissioning work.",No nulls allowed,Not a key,Not required,Trimmed organization name in consistent display casing.,,,Some raw names contain surrounding whitespace or all-uppercase formatting.,Trim whitespace and standardize display casing while preserving the intended organization name.,,Yes
clients,client_type,VARCHAR,Category text,Business category describing the type of organization represented by the client account.,No nulls allowed,Not a key,Not required,Agency; Feature Studio; Game Cinematics; Independent Studio; Marketing Vendor; Streaming Platform; Television Studio.,,,,Trim whitespace and standardize to the approved client-type labels.,,Yes
clients,region,VARCHAR,Category text,Primary geographic operating region associated with the client account.,No nulls allowed,Not a key,Not required,North America; Europe; Asia-Pacific.,,,The raw field includes the abbreviation N. America in addition to North America.,"Map N. America to North America, trim whitespace, and retain the three approved regions.",N. America is an alternate label for North America and should not remain as a separate reporting category.,Yes
clients,contract_tier,VARCHAR,Category text,Commercial service tier assigned to the client for account segmentation and service planning.,No nulls allowed,Not a key,Not required,A; B; C.,,,,"Trim whitespace, standardize to uppercase, and investigate values outside A, B, or C.",,Yes
clients,revision_tendency_index,DOUBLE,Decimal,Relative multiplier used to model the client’s expected tendency to generate revision activity.,No nulls allowed,Not a key,Not required,"Positive decimal; 1.0 is the baseline, above 1.0 is higher tendency, and below 1.0 is lower tendency.",,Relative index multiplier,,"Preserve valid positive decimal values and investigate null, zero, or negative values.",,Yes
clients,default_review_sla_hours,BIGINT,Integer,Default number of hours expected for the client to complete or respond to a production review.,No nulls allowed,Not a key,Not required,Positive whole number.,,Hours,,"Preserve valid positive integers and investigate missing, zero, negative, or fractional values.",,Yes
